"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
301,"1","2026-04-21T08:18:53.231493Z",301,"[{""start"":31,""end"":41,""text"":""Washington"",""labels"":[""LOCATION""]},{""start"":45,""end"":51,""text"":""Monday"",""labels"":[""DATE""]}]",17.921,"The president met officials in Washington on Monday.","2026-04-21T08:18:53.231493Z"
302,"1","2026-04-21T08:19:08.362802Z",302,"[{""start"":0,""end"":5,""text"":""Apple"",""labels"":[""ORGANIZATION""]}]",10.678,"Apple announced new features during its annual event.","2026-04-21T08:19:08.362802Z"
303,"1","2026-04-21T08:19:33.237044Z",303,"[{""start"":49,""end"":54,""text"":""Texas"",""labels"":[""LOCATION""]}]",19.83,"Musk spoke about future plans at a conference in Texas.","2026-04-21T08:19:33.237044Z"
304,"1","2026-04-21T08:19:51.665980Z",304,"[{""start"":18,""end"":23,""text"":""Kenya"",""labels"":[""LOCATION""]},{""start"":48,""end"":57,""text"":""last year"",""labels"":[""DATE""]}]",14.569,"The government of Kenya introduced new policies last year.","2026-04-21T08:19:51.665980Z"
305,"1","2026-04-21T08:20:09.615778Z",305,"[{""start"":0,""end"":6,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":21,""end"":29,""text"":""New York"",""labels"":[""LOCATION""]}]",14.804,"Amazon’s CEO visited New York recently.","2026-04-21T08:20:09.615778Z"
306,"1","2026-04-21T08:20:21.967180Z",306,"[{""start"":21,""end"":33,""text"":""South Africa"",""labels"":[""LOCATION""]}]",9.246,"The team traveled to South Africa for a tournament.","2026-04-21T08:20:21.967180Z"
307,"1","2026-04-21T08:20:38.772963Z",307,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":40,""end"":46,""text"":""Europe"",""labels"":[""LOCATION""]}]",13.98,"Google opened a new office somewhere in Europe.","2026-04-21T08:20:38.772963Z"
308,"1","2026-04-21T08:21:06.587316Z",308,"[{""start"":35,""end"":39,""text"":""Asia"",""labels"":[""LOCATION""]},{""start"":40,""end"":49,""text"":""this year"",""labels"":[""DATE""]}]",24.292,"The company expanded operations in Asia this year.","2026-04-21T08:21:06.587316Z"
309,"1","2026-04-21T08:21:48.510936Z",309,"[{""start"":27,""end"":32,""text"":""Paris"",""labels"":[""LOCATION""]},{""start"":36,""end"":43,""text"":""Tuesday"",""labels"":[""DATE""]}]",34.056,"Barack met with leaders in Paris on Tuesday.","2026-04-21T08:21:48.510936Z"
310,"1","2026-04-21T08:22:21.549319Z",310,"[{""start"":0,""end"":9,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":38,""end"":52,""text"":""Silicon Valley"",""labels"":[""LOCATION""]}]",28.905,"Microsoft partnered with a startup in Silicon Valley.","2026-04-21T08:22:21.550316Z"
311,"1","2026-04-21T08:22:39.159414Z",311,"[{""start"":18,""end"":24,""text"":""Oxford"",""labels"":[""LOCATION""]},{""start"":43,""end"":47,""text"":""June"",""labels"":[""DATE""]}]",14.506,"The university in Oxford held a seminar in June.","2026-04-21T08:22:39.159414Z"
312,"1","2026-04-21T08:23:00.201140Z",312,"[{""start"":0,""end"":5,""text"":""Tesla"",""labels"":[""ORGANIZATION""]}]",15.909,"Tesla reported earnings at the end of the year.","2026-04-21T08:23:00.202138Z"
313,"1","2026-04-21T08:23:22.273718Z",313,"[{""start"":0,""end"":8,""text"":""Facebook"",""labels"":[""ORGANIZATION""]},{""start"":39,""end"":49,""text"":""California"",""labels"":[""LOCATION""]}]",18.422,"Facebook’s headquarters are located in California.","2026-04-21T08:23:22.273718Z"
314,"1","2026-04-21T08:23:39.256470Z",314,"[{""start"":38,""end"":46,""text"":""Tanzania"",""labels"":[""LOCATION""]},{""start"":47,""end"":56,""text"":""last week"",""labels"":[""DATE""]}]",13.677,"The minister visited hospitals across Tanzania last week.","2026-04-21T08:23:39.256470Z"
315,"1","2026-04-21T08:23:57.317165Z",315,"[{""start"":0,""end"":3,""text"":""IBM"",""labels"":[""ORGANIZATION""]},{""start"":37,""end"":44,""text"":""Germany"",""labels"":[""LOCATION""]}]",14.548,"IBM collaborated with researchers in Germany.","2026-04-21T08:23:57.317165Z"
316,"1","2026-04-21T08:24:06.018742Z",316,"",5.781,"The organization held meetings in multiple cities.","2026-04-21T08:24:06.018742Z"
317,"1","2026-04-21T08:24:20.500105Z",317,"[{""start"":28,""end"":34,""text"":""Berlin"",""labels"":[""LOCATION""]}]",11.009,"Angela spoke at an event in Berlin.","2026-04-21T08:24:20.501103Z"
318,"1","2026-04-21T08:24:48.841698Z",318,"[{""start"":4,""end"":13,""text"":""Red Cross"",""labels"":[""ORGANIZATION""]},{""start"":53,""end"":58,""text"":""Sudan"",""labels"":[""LOCATION""]}]",21.203,"The Red Cross team provided aid during the crisis in Sudan.","2026-04-21T08:24:48.841698Z"
319,"1","2026-04-21T08:25:12.376331Z",319,"[{""start"":0,""end"":7,""text"":""Samsung"",""labels"":[""ORGANIZATION""]}]",20.169,"Samsung plans to launch a product soon.","2026-04-21T08:25:12.376331Z"
320,"1","2026-04-21T08:25:36.473641Z",320,"[{""start"":11,""end"":16,""text"":""Apple"",""labels"":[""ORGANIZATION""]},{""start"":25,""end"":30,""text"":""China"",""labels"":[""LOCATION""]},{""start"":34,""end"":39,""text"":""March"",""labels"":[""DATE""]}]",21.032,"The CEO of Apple visited China in March.","2026-04-21T08:25:36.473641Z"
321,"1","2026-04-21T08:25:56.729916Z",321,"[{""start"":17,""end"":31,""text"":""United Nations"",""labels"":[""ORGANIZATION""]},{""start"":49,""end"":55,""text"":""Geneva"",""labels"":[""LOCATION""]}]",17.124,"Leaders from the United Nations met officials in Geneva.","2026-04-21T08:25:56.730913Z"
322,"1","2026-04-21T08:26:11.209413Z",322,"[{""start"":33,""end"":46,""text"":""New York City"",""labels"":[""LOCATION""]}]",11.567,"The company held a conference in New York City.","2026-04-21T08:26:11.210410Z"
323,"1","2026-04-21T08:26:27.185857Z",323,"[{""start"":35,""end"":41,""text"":""Madrid"",""labels"":[""LOCATION""]}]",13.018,"Cristiano scored during a match in Madrid.","2026-04-21T08:26:27.186865Z"
324,"1","2026-04-21T08:26:44.529981Z",324,"[{""start"":4,""end"":18,""text"":""European Union"",""labels"":[""ORGANIZATION""]}]",14.3,"The European Union announced changes recently.","2026-04-21T08:26:44.529981Z"
325,"1","2026-04-21T08:26:56.801689Z",325,"[{""start"":36,""end"":44,""text"":""Shanghai"",""labels"":[""LOCATION""]}]",9.326,"Jack attended a business meeting in Shanghai.","2026-04-21T08:26:56.801689Z"
326,"1","2026-04-21T08:27:19.489111Z",326,"[{""start"":4,""end"":14,""text"":""World Bank"",""labels"":[""ORGANIZATION""]},{""start"":40,""end"":46,""text"":""Africa"",""labels"":[""LOCATION""]}]",19.153,"The World Bank group funded projects in Africa.","2026-04-21T08:27:19.489111Z"
327,"1","2026-04-21T08:27:35.140759Z",327,"[{""start"":30,""end"":43,""text"":""San Francisco"",""labels"":[""LOCATION""]}]",10.313,"Mark spoke at a conference in San Francisco.","2026-04-21T08:27:35.140759Z"
328,"1","2026-04-21T08:27:48.314200Z",328,"[{""start"":4,""end"":31,""text"":""International Monetary Fund"",""labels"":[""ORGANIZATION""]}]",9.504,"The International Monetary Fund released a report.","2026-04-21T08:27:48.314200Z"
329,"1","2026-04-21T08:28:00.166363Z",329,"[{""start"":23,""end"":30,""text"":""Chicago"",""labels"":[""LOCATION""]}]",9.144,"Oprah hosted a show in Chicago.","2026-04-21T08:28:00.166363Z"
330,"1","2026-04-21T08:28:29.299358Z",330,"[{""start"":4,""end"":17,""text"":""African Union"",""labels"":[""ORGANIZATION""]},{""start"":33,""end"":41,""text"":""Ethiopia"",""labels"":[""LOCATION""]},{""start"":42,""end"":52,""text"":""last month"",""labels"":[""DATE""]}]",25.948,"The African Union leaders met in Ethiopia last month.","2026-04-21T08:28:29.299358Z"
